vsweep  v1  v2  v3  v4  v5    
 0.00000000e+00  1.07220368e-03  7.66086693e-06  2.68936065e-07  2.55906911e-07  2.55925028e-07 
 1.00000000e-04  1.07423726e-03  7.67973279e-06  2.69212759e-07  2.55785343e-07  2.56007057e-07 
 2.00000000e-04  1.07627711e-03  7.69872534e-06  2.68905315e-07  2.55986204e-07  2.55831097e-07 
 3.00000000e-04  1.07831907e-03  7.71766512e-06  2.69341736e-07  2.55948459e-07  2.55734092e-07 
 4.00000000e-04  1.08036427e-03  7.73705478e-06  2.68868048e-07  2.55889631e-07  2.56039637e-07 
 5.00000000e-04  1.08241302e-03  7.75626752e-06  2.69207549e-07  2.55915929e-07  2.55712813e-07 
 6.00000000e-04  1.08446563e-03  7.77530604e-06  2.69309451e-07  2.56053855e-07  2.55923619e-07 
 7.00000000e-04  1.08652079e-03  7.79457777e-06  2.69514510e-07  2.56117710e-07  2.56061655e-07 
 8.00000000e-04  1.08857990e-03  7.81423458e-06  2.69608928e-07  2.56073237e-07  2.55635712e-07 
 9.00000000e-04  1.09064261e-03  7.83368497e-06  2.69314730e-07  2.56114837e-07  2.55880768e-07 
 1.00000000e-03  1.09270862e-03  7.85309687e-06  2.69354285e-07  2.55672775e-07  2.55807803e-07 
 1.10000000e-03  1.09477829e-03  7.87242839e-06  2.69419413e-07  2.55983326e-07  2.55877300e-07 
 1.20000000e-03  1.09685120e-03  7.89229587e-06  2.69728967e-07  2.55732423e-07  2.55893656e-07 
 1.30000000e-03  1.09892739e-03  7.91190990e-06  2.69585712e-07  2.55929417e-07  2.55874803e-07 
 1.40000000e-03  1.10100740e-03  7.93166091e-06  2.69338838e-07  2.55714945e-07  2.56161015e-07 
 1.50000000e-03  1.10309091e-03  7.95161365e-06  2.69649681e-07  2.55854885e-07  2.56267032e-07 
 1.60000000e-03  1.10517746e-03  7.97165850e-06  2.69693892e-07  2.56117760e-07  2.55959332e-07 
 1.70000000e-03  1.10726803e-03  7.99141486e-06  2.69669358e-07  2.55719574e-07  2.55873325e-07 
 1.80000000e-03  1.10936208e-03  8.01167726e-06  2.69615019e-07  2.56009530e-07  2.55979314e-07 
 1.90000000e-03  1.11145949e-03  8.03179288e-06  2.69826231e-07  2.55916054e-07  2.55975191e-07 
 2.00000000e-03  1.11356017e-03  8.05187414e-06  2.69979810e-07  2.55914521e-07  2.56068035e-07 
 2.10000000e-03  1.11566462e-03  8.07182840e-06  2.69876578e-07  2.55824721e-07  2.55989483e-07 
 2.20000000e-03  1.11777243e-03  8.09219903e-06  2.70156251e-07  2.56115093e-07  2.55673241e-07 
