 freq mag phase
 1.00000000e+00 -5.15500767e-03 -5.47343293e-05 
 1.12201845e+00 -5.15500767e-03 -6.14129276e-05 
 1.25892541e+00 -5.15500767e-03 -6.89064381e-05 
 1.41253754e+00 -5.15500767e-03 -7.73142952e-05 
 1.58489319e+00 -5.15500768e-03 -8.67480660e-05 
 1.77827941e+00 -5.15500768e-03 -9.73329309e-05 
 1.99526231e+00 -5.15500768e-03 -1.09209345e-04 
 2.23872114e+00 -5.15500769e-03 -1.22534900e-04 
 2.51188643e+00 -5.15500769e-03 -1.37486419e-04 
 2.81838293e+00 -5.15500770e-03 -1.54262300e-04 
 3.16227766e+00 -5.15500770e-03 -1.73085147e-04 
 3.54813389e+00 -5.15500771e-03 -1.94204729e-04 
 3.98107171e+00 -5.15500773e-03 -2.17901290e-04 
 4.46683592e+00 -5.15500774e-03 -2.44489268e-04 
 5.01187234e+00 -5.15500776e-03 -2.74321471e-04 
 5.62341325e+00 -5.15500778e-03 -3.07793753e-04 
 6.30957344e+00 -5.15500781e-03 -3.45350271e-04 
 7.07945784e+00 -5.15500785e-03 -3.87489377e-04 
 7.94328235e+00 -5.15500790e-03 -4.34770232e-04 
 8.91250938e+00 -5.15500796e-03 -4.87820224e-04 
 1.00000000e+01 -5.15500803e-03 -5.47343293e-04 
 1.12201845e+01 -5.15500813e-03 -6.14129276e-04 
 1.25892541e+01 -5.15500825e-03 -6.89064381e-04 
 1.41253754e+01 -5.15500840e-03 -7.73142952e-04 
 1.58489319e+01 -5.15500858e-03 -8.67480660e-04 
 1.77827941e+01 -5.15500882e-03 -9.73329309e-04 
 1.99526231e+01 -5.15500912e-03 -1.09209345e-03 
 2.23872114e+01 -5.15500950e-03 -1.22534900e-03 
 2.51188643e+01 -5.15500997e-03 -1.37486419e-03 
 2.81838293e+01 -5.15501057e-03 -1.54262300e-03 
 3.16227766e+01 -5.15501132e-03 -1.73085147e-03 
 3.54813389e+01 -5.15501226e-03 -1.94204729e-03 
 3.98107171e+01 -5.15501345e-03 -2.17901290e-03 
 4.46683592e+01 -5.15501495e-03 -2.44489268e-03 
 5.01187234e+01 -5.15501684e-03 -2.74321471e-03 
 5.62341325e+01 -5.15501921e-03 -3.07793753e-03 
 6.30957344e+01 -5.15502220e-03 -3.45350271e-03 
 7.07945784e+01 -5.15502597e-03 -3.87489377e-03 
 7.94328235e+01 -5.15503071e-03 -4.34770231e-03 
 8.91250938e+01 -5.15503667e-03 -4.87820223e-03 
 1.00000000e+02 -5.15504418e-03 -5.47343292e-03 
 1.12201845e+02 -5.15505363e-03 -6.14129274e-03 
 1.25892541e+02 -5.15506554e-03 -6.89064378e-03 
 1.41253754e+02 -5.15508052e-03 -7.73142948e-03 
 1.58489319e+02 -5.15509938e-03 -8.67480654e-03 
 1.77827941e+02 -5.15512313e-03 -9.73329301e-03 
 1.99526231e+02 -5.15515303e-03 -1.09209343e-02 
 2.23872114e+02 -5.15519066e-03 -1.22534898e-02 
 2.51188643e+02 -5.15523805e-03 -1.37486417e-02 
 2.81838293e+02 -5.15529770e-03 -1.54262296e-02 
 3.16227766e+02 -5.15537279e-03 -1.73085142e-02 
 3.54813389e+02 -5.15546733e-03 -1.94204722e-02 
 3.98107171e+02 -5.15558635e-03 -2.17901281e-02 
